"Source","Waypoint ID","Waypoint Date","Waypoint Time","X","Y","Last Modified","Last Modified By","Observation Category 0","Activity type","Beach name","Bird species","CCL: curved carapace length","CCW: curved carapace width","Comments","D: the total number of dead hatchlings found inside the nest","Date","Date","H: the total number of hatched hatchlings","Habitat","Nest location","Nest position","Number of individuals","Physical abnormality","Physical abnormality - comments","Place","Predation","Turtle species","Type of activity","U: the total number of unhatched eggs in the nest","Observation Group"
"Patrol","5","Mar 15, 2023","3:09:16 PM","97.08952166666668","2.056395","Jul 4, 2023, 9:20:20 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 15, 2023","","","","","A: above high tide","","","","","Yes","CM: Green turtle","","","9411b68dfd6749299ef2fabffec0152c"
"Patrol","4","Mar 15, 2023","3:00:12 PM","97.08744166666665","2.0590699999999997","Jul 4, 2023, 9:20:20 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 15, 2023","","","","D: dune sand (area on top of dune)","A: above high tide","","","","","","CM: Green turtle","","","b2019304831043cd8f358b80ddc41122"
"Patrol","3","Mar 15, 2023","2:58:32 PM","97.08738833333334","2.0591066666666666","Jul 4, 2023, 9:20:20 AM","Dwi Iqbal Maulana","Sea turtle activity","","","","","","","","","","","","","","","","","","","","","","e032dd6fe58d434192dca4bda14df10f"
"Patrol","2","Mar 15, 2023","2:56:14 PM","97.08731666666667","2.059285","Jul 4, 2023, 9:20:20 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 15, 2023","","","","","A: above high tide","","","","","Yes","CM: Green turtle","","","36f27afae1d54de1b673497c896b9a55"
"Patrol","11","Mar 14, 2023","9:16:34 AM","97.09137666666666","2.0530833333333334","Jul 4, 2023, 9:20:07 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 14, 2023","","","","G: dune in grass","A: above high tide","","","","","","CM: Green turtle","","","70b0270c01cc4458b9a8a3a995c61cdb"
"Patrol","10","Mar 14, 2023","9:14:25 AM","97.09130166666667","2.0534749999999997","Jul 4, 2023, 9:20:07 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 14, 2023","","","","G: dune in grass","A: above high tide","","","","","Yes","CM: Green turtle","","","b7e1e34643264531aa1be6d258d7facf"
"Patrol","9","Mar 14, 2023","9:10:59 AM","97.09109166666667","2.0542166666666666","Jul 4, 2023, 9:20:07 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 14, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","","f0d18b4e606f46d188c39d32b6e52704"
"Patrol","8","Mar 14, 2023","9:07:43 AM","97.09070166666667","2.0549749999999998","Jul 4, 2023, 9:20:07 AM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","","","","Mar 14, 2023","","","","","","","","","","","CM: Green turtle","","","843df5fb3ff648ba8d55da9b76a157a7"
"Patrol","7","Mar 14, 2023","9:04:51 AM","97.09036666666667","2.0553166666666667","Jul 4, 2023, 9:20:07 AM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","","","","Mar 14, 2023","","","","D: dune sand (area on top of dune)","BE: between low and high tide","","","","","","CM: Green turtle","","","c00db581192942e4b36b40eea36a59d5"
"Patrol","6","Mar 14, 2023","8:57:36 AM","97.08982833333333","2.0560233333333335","Jul 4, 2023, 9:20:07 AM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","","","","Mar 14, 2023","","","","D: dune sand (area on top of dune)","BE: between low and high tide","","","","","","CM: Green turtle","","","7b0cad68c0c745359197ca8ea34be8f5"
"Patrol","5","Mar 14, 2023","8:49:14 AM","97.08944166666667","2.056455","Jul 4, 2023, 9:20:07 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 14, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","","f053acfc197b45da98cb1e4c057f0e2c"
"Patrol","4","Mar 14, 2023","8:47:30 AM","97.08938500000001","2.0565599999999997","Jul 4, 2023, 9:20:07 AM","Dwi Iqbal Maulana","Sea turtle activity","P: predation","Amandangan","","","","","","Mar 14, 2023","","","","G: dune in grass","A: above high tide","","","","","Yes","CM: Green turtle","","","5738611d430447659b3d16856fe0737f"
"Patrol","3","Mar 14, 2023","8:43:41 AM","97.08889166666668","2.0569016666666666","Jul 4, 2023, 9:20:07 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 14, 2023","","","","D: dune sand (area on top of dune)","BE: between low and high tide","","","","","","CM: Green turtle","","","387809030b8d4b8b9450491a4cbd18f1"
"Patrol","2","Mar 14, 2023","8:33:34 AM","97.08723666666668","2.05941","Jul 4, 2023, 9:20:07 AM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","","","","Mar 14, 2023","","112.0","","D: dune sand (area on top of dune)","A: above high tide","","","","","","CM: Green turtle","","5.0","b1956ee71c3640c08eac0dd67326a41f"
"Patrol","8","Mar 13, 2023","4:12:51 PM","97.08149499999999","2.0661066666666668","Jul 4, 2023, 9:19:48 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Pantai pelanggaran","","","","","","Mar 13, 2023","","","","D: dune sand (area on top of dune)","A: above high tide","","","","","","CM: Green turtle","","","8f314560b70a480d94b3eea3d2190169"
"Patrol","7","Mar 13, 2023","11:02:56 AM","97.09132166666669","2.05317","Jul 4, 2023, 9:19:48 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 13, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","","aa9dec37d8194b269bb13680f454ea17"
"Patrol","6","Mar 13, 2023","10:53:04 AM","97.08938000000002","2.0564983333333333","Jul 4, 2023, 9:19:48 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 13, 2023","","","","G: dune in grass","A: above high tide","","","","","","CM: Green turtle","","","d6c3e4719c414d76a39378dfe3400cfb"
"Patrol","5","Mar 13, 2023","10:48:45 AM","97.08847666666666","2.05736","Jul 4, 2023, 9:19:48 AM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","","","","Mar 13, 2023","","106.0","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","13.0","dbe83629467a4f37838a2218dd681cb7"
"Patrol","4","Mar 13, 2023","10:26:54 AM","97.08639666666667","2.0601316666666665","Jul 4, 2023, 9:19:48 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 13, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","","1653928c1d704c04ae492173b22b87fc"
"Patrol","3","Mar 13, 2023","10:25:36 AM","97.08636333333334","2.0601399999999996","Jul 4, 2023, 9:19:48 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 13, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","","509ce452346b4586ba91198564454585"
