Source;Waypoint ID;Waypoint Date;Waypoint Time;X;Y;Last Modified;Last Modified By;Observation Category 0;Activity type;Beach name;Bird species;CCL: curved carapace length;CCW: curved carapace width;Comments;D: the total number of dead hatchlings found inside the nest;Date;Date;Facial ID taken;H: the total number of hatched hatchlings;Habitat;Nest location;Nest position;Number of individuals;Place;Predation;Turtle species;Type of activity;Type of activity (other);U: the total number of unhatched eggs in the nest;Observation Group
Patrol;15;4-Jun-23;11:51:02 AM;9708759666666660,00;20587299999999900,00;Jun 19, 2023, 7:26:47 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;;4-Jun-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;CM: Green turtle;;;;d4c5717840344ffda136c1f99e3a47e0
Patrol;14;4-Jun-23;11:48:07 AM;9708767666666660,00;20586583333333300,00;Jun 19, 2023, 7:26:47 AM;Dwi Iqbal Maulana;Sea turtle activity;P: predation;Amandangan;;;;;;4-Jun-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;CM: Green turtle;;;;8eeefb5461e84924a7851005c047d02a
Patrol;13;4-Jun-23;9:03:30 AM;9709601166666660,00;204315,00;Jun 19, 2023, 7:26:47 AM;Dwi Iqbal Maulana;Sea turtle activity;P: predation;;;;;;;4-Jun-23;;;;;S: front slope of dune in sand;A: above high tide;;;Yes;CM: Green turtle;;;;e7042ec55fe24cd7b96c71441b45a143
Patrol;12;4-Jun-23;8:08:49 AM;9709120833333330,00;20522516666666600,00;Jun 19, 2023, 7:26:47 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;4-Jun-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;CM: Green turtle;;;;230abc088c474fabb3af36179a2935aa
Patrol;11;4-Jun-23;8:05:04 AM;9709125833333330,00;20533616666666600,00;Jun 19, 2023, 7:26:47 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;4-Jun-23;;;;;G: dune in grass;A: above high tide;;;;CM: Green turtle;;;;bd322fa589c442faa4a1cac9c71b0b1d
Patrol;10;4-Jun-23;8:02:56 AM;97091305,00;20535633333333300,00;Jun 19, 2023, 7:26:47 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;4-Jun-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;CM: Green turtle;;;;c1fa433439504e7794e14fe519a3a5b0
Patrol;9;4-Jun-23;8:00:39 AM;9709112833333330,00;205386,00;Jun 19, 2023, 7:26:46 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-A: false crawl with nesting attempt;Amandangan;;;;;;4-Jun-23;;;;;G: dune in grass;A: above high tide;;;;CM: Green turtle;;;;0207a5fe34bc4b46b0e3ceccd52cf5e7
Patrol;8;4-Jun-23;7:49:16 AM;9709104666666660,00;20542133333333300,00;Jun 19, 2023, 7:26:46 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;4-Jun-23;;;;;G: dune in grass;A: above high tide;;;;CM: Green turtle;;;;afbc7b72cee346978d747c6d4b9356d6
Patrol;7;4-Jun-23;7:47:17 AM;9709082666666660,00;205473,00;Jun 19, 2023, 7:26:46 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;4-Jun-23;;;;;G: dune in grass;A: above high tide;;;;CM: Green turtle;;;;d3b71e3acb3a48f5869f06d60608257c
Patrol;4;4-Jun-23;7:35:05 AM;9708980500000000,00;20561000000000000,00;Jun 19, 2023, 7:26:46 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;3.0;4-Jun-23;;;;;G: dune in grass;A: above high tide;;;;CM: Green turtle;;;;e15ea049b61d4de3baa876b1053f27d9
Patrol;3;4-Jun-23;7:16:39 AM;9708775666666660,00;20584166666666600,00;Jun 19, 2023, 7:26:46 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;;4-Jun-23;;;;;;;;;;CM: Green turtle;;;;a9eebad8286d4c92a7000eec9155b0a1
Patrol;2;4-Jun-23;7:13:19 AM;9708698000000000,00;2059575,00;Jun 19, 2023, 7:26:46 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;4-Jun-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;CM: Green turtle;;;;4ad747c84c5e42a79ab3d255dab0be5b
Patrol;3;3-Jun-23;6:06:37 PM;9707825,00;20746249999999900,00;Jun 19, 2023, 7:26:14 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Pantai panjang;;;;;;3-Jun-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;CM: Green turtle;;;;24731e67c3f5421f8253a2819b6e85bd
Patrol;2;3-Jun-23;6:05:34 PM;9707831999999990,00;2074276666666660,00;Jun 19, 2023, 7:26:14 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Pantai panjang;;;;;;3-Jun-23;;;;;B: beach (between high tide and slope);A: above high tide;;;Yes;CM: Green turtle;;;;6f13ee979bbb4a4bb87a993dd330444f
Patrol;5;3-Jun-23;10:20:15 AM;9709104333333330,00;20542016666666600,00;Jun 19, 2023, 7:26:10 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;3-Jun-23;;;;;;;;;;CM: Green turtle;;;;dd874ceaf4f34f29a01d0dc187a0ac58
Patrol;4;3-Jun-23;10:10:38 AM;9708915499999990,00;20568033333333300,00;Jun 19, 2023, 7:26:10 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;3-Jun-23;;;;;G: dune in grass;BE: between low and high tide;;;;CM: Green turtle;;;;49d2150420a045ffad997e79b9f2cad6
Patrol;3;3-Jun-23;10:08:46 AM;9708897833333330,00;2056923333333330,00;Jun 19, 2023, 7:26:10 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;3-Jun-23;;;;;;;;;;CM: Green turtle;;;;e59e6fb574164d29a21377d183e5d8fe
Patrol;2;3-Jun-23;10:05:49 AM;9708827833333330,00;20576683333333300,00;Jun 19, 2023, 7:26:10 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-A: false crawl with nesting attempt;Amandangan;;;;;;3-Jun-23;;;;;;;;;;CM: Green turtle;;;;390ae90c8c574047aa1de1879c459a54
Patrol;7;2-Jun-23;11:09:53 PM;97089435,00;20563966666666600,00;Jun 19, 2023, 7:26:04 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;106.0;95.0;;;2-Jun-23;;;;;T: beneath tree, shrub, forest;BE: between low and high tide;;;;CM: Green turtle;;;;88953f404a5f4999be524f7fff9684c4
