Source;Waypoint ID;Waypoint Date;Waypoint Time;X;Y;Last Modified;Last Modified By;Observation Category 0;Activity type;Beach name;Bird species;CCL: curved carapace length;CCW: curved carapace width;Comments;D: the total number of dead hatchlings found inside the nest;Date;Date;Facial ID taken;H: the total number of hatched hatchlings;Habitat;Nest location;Nest position;Number of individuals;Physical abnormality;Physical abnormality - comments;Place;Predation;Turtle species;Type of activity;Type of activity (other);U: the total number of unhatched eggs in the nest;Observation Group
Patrol;6;31-Mar-23;7:42:17 AM;9709132166666660,00;20526566666666600,00;Apr 15, 2023, 10:53:40 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;31-Mar-23;;;;;B: beach (between high tide and slope);A: above high tide;;;;;;CM: Green turtle;;;;df91b358edea4b54a758d93e52974b34
Patrol;5;31-Mar-23;7:36:20 AM;9709074666666660,00;2054926666666660,00;Apr 15, 2023, 10:53:40 AM;Dwi Iqbal Maulana;Bird's monitoring;;;Beach stone-curlew;;;Telur burung dimangsa kepiting;;;31-Mar-23;;;Beach;;;;;;Ground;;;Nesting;;;cbba9c8e7b4a431ab3e43f1a7ffb28a9
Patrol;4;31-Mar-23;7:31:52 AM;9709037500000000,00;20554449999999900,00;Apr 15, 2023, 10:53:40 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;31-Mar-23;;;;;B: beach (between high tide and slope);A: above high tide;;;;;;CM: Green turtle;;;;09232d142cab4a01be16d8f3b6ce951c
Patrol;3;31-Mar-23;7:26:03 AM;9708906,00;20567466666666600,00;Apr 15, 2023, 10:53:40 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;31-Mar-23;;;;;B: beach (between high tide and slope);BE: between low and high tide;;;;;;CM: Green turtle;;;;7dd026a57c134ef68de001388e493332
Patrol;2;31-Mar-23;7:20:03 AM;9708726166666660,00;2059231666666660,00;Apr 15, 2023, 10:53:40 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;31-Mar-23;;;;;B: beach (between high tide and slope);A: above high tide;;;;;;CM: Green turtle;;;;3c8a3cabfca74efc9a949a114ab4cd98
Patrol;3;30-Mar-23;10:48:03 PM;9709103833333330,00;20535583333333300,00;Apr 15, 2023, 10:53:27 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;30-Mar-23;;;;;B: beach (between high tide and slope);BL: below tidal line;;;;;;CM: Green turtle;;;;a62cb0ac214547ba812788dd68649a37
Patrol;2;30-Mar-23;10:06:42 PM;9709085666666660,00;2054875,00;Apr 15, 2023, 10:53:27 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;96.0;86.0;;;30-Mar-23;;;;;D: dune sand (area on top of dune);A: above high tide;;;;;;CM: Green turtle;;;;e5a7ca1e17c34df0aa5e970628b71a36
Patrol;5;30-Mar-23;11:18:16 AM;9709114999999990,00;205279,00;Apr 15, 2023, 10:53:15 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;30-Mar-23;;;;;S: front slope of dune in sand;BE: between low and high tide;;;;;;CM: Green turtle;;;;66db4cfc8fdb4b32a33da1cc9e3d9b57
Patrol;4;30-Mar-23;11:15:30 AM;9709113333333330,00;205315,00;Apr 15, 2023, 10:53:15 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;30-Mar-23;;;;;B: beach (between high tide and slope);BE: between low and high tide;;;;;;CM: Green turtle;;;;eaf0e7f442c04f98b61f0d0dd8f1caa0
Patrol;3;30-Mar-23;11:12:56 AM;9709136666666660,00;2053166666666660,00;Apr 15, 2023, 10:53:15 AM;Dwi Iqbal Maulana;Sea turtle activity;P: predation;Pantai pelanggaran;;;;;;30-Mar-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;;edc89244d5e74fa0ac29fe3a30ab78ec
